iter	MAE	RMSE
0	744.9446457	969.4663054
1	724.6526988	943.3127208
2	704.2044855	917.5534034
3	685.2220593	892.9617538
4	666.5382077	869.7695117
5	647.6336001	847.2448354
6	629.6962623	824.4399334
7	611.9171171	803.354804
8	595.7376757	782.7951072
9	579.2452892	762.1255608
10	563.5369881	742.7776373
11	548.0783379	723.4179094
12	533.3769729	703.5681342
13	519.3702653	684.8635541
14	505.9798637	667.6885261
15	491.6663724	650.3848403
16	478.2056891	633.862409
17	465.8580446	617.5149075
18	453.2692767	601.2243981
19	441.0586486	586.4435312
20	429.2794235	572.2153534
21	417.0891642	557.7409367
22	405.1271497	543.2624823
23	393.9239128	529.9525257
24	383.8981132	517.2738067
25	373.6605202	504.8392913
26	363.4466722	492.6293118
27	354.5031689	479.965369
28	345.9542445	468.720432
29	337.0087952	457.1145736
30	328.3705989	445.3972579
31	319.0636661	433.9843987
32	310.4885673	423.1047647
33	302.8662067	413.1917326
34	294.883506	402.8575327
35	287.2216262	392.8070852
36	279.8453868	383.5462506
37	272.6770559	374.1862578
38	265.3275795	364.626164
39	258.1784374	356.1361224
40	251.3837628	347.5319511
41	245.2649214	339.6137659
42	238.8009929	331.7242731
43	232.6936255	323.6570104
44	226.4320794	315.7826815
45	220.7308545	308.105034
46	214.9805935	301.1364456
47	209.6846323	294.2436858
48	204.2685713	288.0947217
49	199.1430516	281.4435895
50	194.1277522	274.9061394
51	189.4974443	268.9777629
52	185.1265377	262.8856852
53	180.1633907	256.6849477
54	175.8060055	251.181934
55	171.1429719	245.4162548
56	166.8887147	239.8484018
57	162.7805209	234.5118493
58	158.7528025	229.3612713
59	155.0819687	224.6342092
60	151.1234873	219.7332342
61	147.5165111	214.9682811
62	144.1654919	210.465622
63	140.5396818	205.8990457
64	137.061188	201.7320858
65	133.7221297	197.6202335
66	130.2978059	193.5408239
67	127.0392736	189.6118809
68	123.9739954	185.6498007
69	120.9495541	181.9628551
70	118.2447101	178.305043
71	115.5268426	174.7358451
72	112.9713385	171.4522729
73	110.555783	168.1240636
74	107.8728982	164.8884623
75	105.8468183	161.7329683
76	103.4802158	158.7803131
77	101.1184046	155.8710873
78	98.93575593	153.1558953
79	96.59772883	150.1810071
80	94.53376821	147.4818497
81	92.57929109	145.0849688
82	90.55257514	142.4633612
83	88.71127009	140.1233008
84	86.91219524	137.7304196
85	85.21960141	135.4392543
86	83.31492381	133.0807863
87	81.5896686	130.8886033
88	79.90126032	128.6966338
89	78.47066061	126.7875234
90	76.81438104	124.7280752
91	75.35870977	122.9818967
92	74.10334159	121.1947897
93	72.69296169	119.4149911
94	71.38983027	117.6152344
95	70.03100478	115.9645506
96	68.94123959	114.3542629
97	67.83321337	112.7804306
98	66.59294792	111.2247113
99	65.54733553	109.8763319
100	64.40985535	108.4582284
101	63.25152697	107.0459846
102	62.13288651	105.6564989
103	61.09651171	104.2824875
104	60.16987839	103.1314059
105	59.29830608	101.9197078
106	58.38063924	100.6868414
107	57.62460397	99.73696612
108	56.85118117	98.60796354
109	55.99097582	97.59834776
110	55.17671131	96.4270101
111	54.55537918	95.46126583
112	53.71812436	94.42079414
113	53.05414694	93.3854671
114	52.18602156	92.39320931
115	51.61953529	91.57980653
116	51.0677849	90.76368621
117	50.44834551	89.89889632
118	49.98422483	89.09844827
119	49.62734963	88.43462093
120	49.0598615	87.73147887
121	48.65156975	87.09170937
122	48.05709676	86.22848999
123	47.67095111	85.59591437
124	47.21505482	84.86756664
125	46.74709353	84.24173629
126	46.3141774	83.49822396
127	45.8706816	82.99379278
128	45.51004443	82.31262896
129	45.05268947	81.63665318
130	44.76804697	81.01757829
131	44.33602148	80.38412581
132	43.99085931	79.93673041
133	43.66576187	79.32815919
134	43.42427879	78.80438326
135	42.91318591	78.21374225
136	42.59970728	77.64295155
137	42.27787883	77.10089229
138	41.99172581	76.69463378
139	41.59363608	76.23601339
140	41.3174681	75.72286169
141	41.10163058	75.27542189
142	40.87020788	74.81020997
143	40.42098779	74.29675894
144	40.08862095	73.86594654
145	39.89894158	73.43942994
146	39.62196883	72.99087383
147	39.29314118	72.60157156
148	39.05346729	72.22284506
149	38.83468095	71.78877949
150	38.58607614	71.33945125
151	38.38290621	70.96205844
152	38.05126941	70.50318962
153	37.80697855	70.04125854
154	37.55480632	69.59557729
155	37.43311215	69.30934167
156	37.12262295	68.85654955
157	36.94958902	68.45475225
158	36.79056782	68.20870868
159	36.61617276	67.83241497
160	36.42835981	67.41481097
161	36.28831337	67.07916928
162	36.11933621	66.7378729
163	35.9941995	66.46259826
164	35.83881022	66.16803933
165	35.69807444	65.85310492
166	35.47187051	65.52856844
167	35.37817401	65.28084845
168	35.10278857	64.81563268
169	34.98955528	64.53333698
170	34.72895599	64.18227372
171	34.46997115	63.8189515
172	34.36207178	63.5041697
173	34.12248225	63.11722509
174	33.97235551	62.79737634
175	33.71214673	62.53915097
176	33.54902418	62.24821817
177	33.4654644	62.09659716
178	33.20973886	61.79020896
179	32.92917617	61.47250027
180	32.76615987	61.30186358
181	32.59885805	60.95896885
182	32.4882832	60.71892894
183	32.33529616	60.42031905
184	32.12514848	60.14580044
185	31.87628033	59.83431188
186	31.85174661	59.65092313
187	31.82346733	59.46977356
188	31.68413438	59.21019612
189	31.53409553	59.03677296
190	31.46049109	58.83184467
191	31.31928118	58.58266644
192	31.04271023	58.29872703
193	30.94966905	58.07765127
194	30.74786619	57.78377218
195	30.64482753	57.5529972
196	30.60477942	57.44561275
197	30.52534818	57.23097529
198	30.4897144	57.05923061
199	30.44998408	56.8697273
200	30.39818197	56.7299401
201	30.31585704	56.55329135
202	30.27013063	56.3568791
203	30.16188015	56.1261604
204	30.11624989	56.02162346
205	30.04855386	55.82937715
206	29.98004009	55.63441877
207	29.86687038	55.40532276
208	29.79431793	55.22354755
209	29.70642839	55.05889737
210	29.63856994	54.92646478
211	29.60239695	54.84935067
212	29.57575691	54.75716541
213	29.46420011	54.59873809
214	29.40033408	54.45078684
215	29.34461487	54.30941545
216	29.2936899	54.18552172
217	29.26516825	54.06379771
218	29.2096478	53.94758571
219	29.18506511	53.81829886
220	29.15369031	53.68867932
221	29.1443041	53.63745101
222	29.01710625	53.42540239
223	28.96598352	53.29547828
224	28.85130103	53.05151687
