iter	Passed	Remaining
0	174	87112
1	209	52183
2	254	42110
3	290	36010
4	325	32200
5	357	29425
6	393	27711
7	422	26009
8	459	25070
9	492	24144
10	537	23881
11	574	23357
12	606	22728
13	637	22129
14	671	21701
15	707	21390
16	742	21106
17	773	20719
18	806	20419
19	838	20126
20	887	20244
21	965	20971
22	1001	20777
23	1046	20750
24	1079	20512
25	1116	20355
26	1153	20206
27	1193	20115
28	1225	19906
29	1261	19761
30	1293	19569
31	1329	19442
32	1368	19360
33	1403	19230
34	1434	19053
35	1465	18890
36	1496	18726
37	1527	18571
38	1562	18465
39	1598	18380
40	1638	18340
41	1672	18236
42	1716	18247
43	1769	18340
44	1811	18314
45	1848	18247
46	1893	18254
47	1937	18246
48	1972	18153
49	2004	18043
50	2039	17952
51	2071	17849
52	2107	17774
53	2139	17672
54	2181	17647
55	2212	17540
56	2241	17418
57	2277	17358
58	2327	17397
59	2362	17321
60	2400	17274
61	2437	17222
62	2468	17124
63	2498	17021
64	2527	16918
65	2566	16873
66	2605	16838
67	2638	16760
68	2672	16696
69	2706	16623
70	2738	16547
71	2774	16491
72	2809	16434
73	2840	16353
74	2875	16296
75	2907	16223
76	2944	16174
77	2978	16113
78	3009	16036
79	3081	16177
80	3144	16267
81	3193	16281
82	3225	16203
83	3260	16145
84	3288	16057
85	3325	16009
86	3360	15951
87	3398	15910
88	3433	15855
89	3469	15806
90	3501	15735
91	3535	15677
92	3569	15620
93	3610	15594
94	3646	15545
95	3677	15476
96	3707	15405
97	3744	15361
98	3778	15303
99	3809	15238
100	3842	15181
101	3886	15166
102	3929	15145
103	3966	15102
104	3999	15045
105	4030	14981
106	4069	14947
107	4108	14910
108	4141	14857
109	4172	14793
110	4215	14774
111	4246	14712
112	4278	14653
113	4309	14592
114	4340	14529
115	4377	14490
116	4415	14454
117	4447	14398
118	4476	14333
119	4507	14273
120	4540	14221
121	4571	14165
122	4604	14112
123	4638	14066
124	4672	14018
125	4703	13960
126	4736	13910
127	4772	13868
128	4805	13819
129	4835	13761
130	4865	13704
131	4906	13679
