Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price(Rs./Quintal),Max Price(Rs./Quintal),Modal Price(Rs./Quintal),Price Date
1,Auraiya,Achalda,Rice,III,FAQ,2400,2560,2500,"10
Nov
2023"
2,Auraiya,Achalda,Rice,III,FAQ,2400,2600,2500,"11
Nov
2023"
3,Auraiya,Achalda,Rice,III,FAQ,2400,2700,2570,"16
Oct
2023"
4,Auraiya,Achalda,Rice,III,FAQ,2450,2560,2500,"09
Jan
2024"
5,Auraiya,Achalda,Rice,III,FAQ,2450,2650,2550,"02
Dec
2023"
6,Auraiya,Achalda,Rice,III,FAQ,2470,2670,2570,"17
Oct
2023"
7,Auraiya,Achalda,Rice,III,FAQ,2500,2600,2520,"06
Nov
2023"
8,Auraiya,Achalda,Rice,III,FAQ,2500,2600,2550,"20
Nov
2023"
9,Auraiya,Achalda,Rice,III,FAQ,2500,2600,2570,"02
Nov
2023"
10,Auraiya,Achalda,Rice,III,FAQ,2560,2700,2650,"12
Dec
2023"
11,Auraiya,Achalda,Rice,III,FAQ,2600,2700,2640,"20
Dec
2023"
12,Auraiya,Achalda,Rice,III,FAQ,2600,2720,2690,"05
Jan
2024"
13,Auraiya,Achalda,Rice,III,FAQ,2700,2800,2760,"19
Jun
2024"
14,Auraiya,Achalda,Rice,III,FAQ,2800,2950,2900,"12
Feb
2024"
15,Auraiya,Achalda,Rice,III,FAQ,2850,3000,2950,"10
Apr
2024"
16,Auraiya,Achalda,Rice,III,FAQ,2850,3050,2950,"02
May
2024"
17,Auraiya,Achalda,Rice,III,FAQ,2900,3000,2930,"14
May
2024"
18,Auraiya,Achalda,Rice,III,FAQ,2900,3000,2950,"24
Apr
2024"
19,Auraiya,Achalda,Rice,III,FAQ,2900,3050,2950,"13
Feb
2024"
20,Auraiya,Achalda,Rice,III,FAQ,2900,3050,2980,"03
Jul
2024"
21,Auraiya,Achalda,Rice,III,FAQ,2900,3050,3000,"02
Mar
2024"
22,Auraiya,Achalda,Rice,III,FAQ,2900,3100,3000,"12
Mar
2024"
23,Auraiya,Achalda,Rice,III,FAQ,2950,3050,3000,"08
Mar
2024"
24,Auraiya,Achalda,Rice,III,FAQ,3000,3150,3100,"25
Jul
2024"
25,Auraiya,Achalda,Rice,III,FAQ,3000,3250,3120,"20
Sep
2024"
26,Auraiya,Achalda,Rice,III,FAQ,3100,3250,3200,"03
Sep
2024"
27,Auraiya,Achalda,Rice,III,FAQ,3100,3250,3200,"30
Jul
2024"
28,Auraiya,Achalda,Rice,III,FAQ,3100,3300,3200,"22
Aug
2024"
29,Agra,Achnera,Rice,III,FAQ,2800,2880,2840,"24
Oct
2023"
30,Agra,Achnera,Rice,III,FAQ,2830,2870,2850,"30
Oct
2023"
31,Agra,Achnera,Rice,III,FAQ,2840,2920,2880,"15
Jan
2024"
32,Agra,Achnera,Rice,III,FAQ,2860,2900,2880,"18
Nov
2023"
33,Agra,Achnera,Rice,III,FAQ,2860,3020,2890,"19
Dec
2023"
34,Agra,Achnera,Rice,III,FAQ,2870,2930,2900,"02
Jan
2024"
35,Agra,Achnera,Rice,III,FAQ,2870,2930,2900,"05
Jan
2024"
36,Agra,Achnera,Rice,III,FAQ,2900,2940,2920,"17
Oct
2023"
37,Agra,Achnera,Rice,III,FAQ,2930,2970,2950,"07
Oct
2023"
38,Agra,Achnera,Rice,III,FAQ,3100,3140,3120,"11
May
2024"
39,Agra,Achnera,Rice,III,FAQ,3100,3150,3125,"30
Apr
2024"
40,Agra,Achnera,Rice,III,FAQ,3120,3160,3140,"27
May
2024"
41,Agra,Achnera,Rice,III,FAQ,3120,3160,3140,"29
Apr
2024"
42,Agra,Achnera,Rice,III,FAQ,3130,3140,3135,"01
Jun
2024"
43,Agra,Achnera,Rice,III,FAQ,3130,3190,3160,"12
Jul
2024"
44,Agra,Achnera,Rice,III,FAQ,3160,3200,3180,"02
Apr
2024"
45,Agra,Achnera,Rice,III,FAQ,3200,3240,3220,"05
Aug
2024"
46,Agra,Achnera,Rice,III,FAQ,3230,3270,3250,"03
Sep
2024"
47,Agra,Agra,Rice,III,FAQ,2480,2550,2500,"12
Aug
2024"
48,Agra,Agra,Rice,III,FAQ,2800,3040,2890,"01
Dec
2023"
49,Agra,Agra,Rice,III,FAQ,2820,3040,2900,"04
Jan
2024"
50,Agra,Agra,Rice,III,FAQ,2850,2920,2880,"01
Nov
2023"
51,Agra,Agra,Rice,III,FAQ,2860,2930,2900,"09
Nov
2023"
52,Agra,Agra,Rice,III,FAQ,2890,3050,2950,"29
Jan
2024"
53,Agra,Agra,Rice,III,FAQ,2900,3080,2975,"24
Feb
2024"
54,Agra,Agra,Rice,III,FAQ,3050,3180,3120,"01
Apr
2024"
55,Agra,Agra,Rice,III,FAQ,3060,3250,3150,"07
Jun
2024"
56,Agra,Agra,Rice,III,FAQ,3060,3250,3150,"12
Apr
2024"
57,Agra,Agra,Rice,III,FAQ,3080,3300,3160,"18
May
2024"
58,Agra,Agra,Rice,III,FAQ,3100,3350,3180,"25
May
2024"
59,Agra,Agra,Rice,III,FAQ,3150,3300,3220,"31
Jul
2024"
60,Agra,Agra,Rice,III,FAQ,3150,3300,3240,"17
Jul
2024"
61,Agra,Agra,Rice,III,FAQ,3150,3350,3250,"18
Jul
2024"
62,Agra,Agra,Rice,III,FAQ,3240,3360,3300,"06
Sep
2024"
63,Mirzapur,Ahirora,Rice,III,FAQ,2550,2750,2650,"14
Oct
2023"
64,Mirzapur,Ahirora,Rice,III,FAQ,2550,2750,2660,"19
Oct
2023"
65,Mirzapur,Ahirora,Rice,III,FAQ,2600,2750,2670,"24
Feb
2024"
66,Mirzapur,Ahirora,Rice,III,FAQ,2600,2780,2680,"05
Feb
2024"
67,Mirzapur,Ahirora,Rice,III,FAQ,2600,2800,2700,"12
Dec
2023"
68,Mirzapur,Ahirora,Rice,III,FAQ,2600,2850,2670,"31
Oct
2023"
69,Mirzapur,Ahirora,Rice,III,FAQ,2650,2800,2710,"20
Jan
2024"
70,Mirzapur,Ahirora,Rice,III,FAQ,2700,2850,2780,"26
Mar
2024"
71,Mirzapur,Ahirora,Rice,III,FAQ,2750,2900,2820,"09
Apr
2024"
72,Mirzapur,Ahirora,Rice,III,FAQ,2750,2900,2820,"18
Apr
2024"
73,Mirzapur,Ahirora,Rice,III,FAQ,2800,2900,2850,"28
Apr
2024"
74,Mirzapur,Ahirora,Rice,III,FAQ,2900,3000,2950,"25
May
2024"
75,Mirzapur,Ahirora,Rice,III,FAQ,2900,3050,2970,"14
Jun
2024"
76,Mirzapur,Ahirora,Rice,III,FAQ,2900,3100,3000,"21
Jun
2024"
77,Sangrur,Ahmedgarh,Rice,Other,FAQ,2203,2203,2203,"07
Oct
2023"
78,Prayagraj,Ajuha,Rice,Common,FAQ,2550,2630,2600,"07
Oct
2023"
79,Prayagraj,Ajuha,Rice,Common,FAQ,2550,2640,2600,"09
Oct
2023"
80,Prayagraj,Ajuha,Rice,Common,FAQ,2660,2730,2700,"09
Nov
2023"
81,Prayagraj,Ajuha,Rice,Common,FAQ,2720,2790,2760,"12
Mar
2024"
82,Prayagraj,Ajuha,Rice,Common,FAQ,2800,2890,2860,"05
Apr
2024"
83,Prayagraj,Ajuha,Rice,Common,FAQ,2840,2900,2870,"05
Jun
2024"
84,Prayagraj,Ajuha,Rice,Common,FAQ,2840,2900,2870,"31
May
2024"
85,Prayagraj,Ajuha,Rice,Common,FAQ,2860,2920,2890,"26
Jun
2024"
86,Prayagraj,Ajuha,Rice,Common,FAQ,3080,3150,3120,"21
Aug
2024"
87,Prayagraj,Ajuha,Rice,Common,FAQ,3100,3165,3140,"05
Aug
2024"
88,Prayagraj,Ajuha,Rice,Common,FAQ,3100,3170,3140,"29
Aug
2024"
89,Prayagraj,Ajuha,Rice,Common,FAQ,3110,3175,3150,"24
Aug
2024"
90,Prayagraj,Ajuha,Rice,Common,FAQ,3120,3190,3160,"18
Sep
2024"
91,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2470,2550,2510,"09
Dec
2023"
92,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2600,2680,2630,"04
Jan
2024"
93,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2620,2690,2650,"03
Oct
2023"
94,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2620,2700,2650,"16
Jan
2024"
95,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2620,2700,2670,"19
Jan
2024"
96,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2650,2730,2690,"30
Jan
2024"
97,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2840,2900,2870,"19
Apr
2024"
98,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2840,2900,2875,"18
Apr
2024"
99,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2900,2970,2930,"29
Apr
2024"
100,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2900,3080,3020,"28
Aug
2024"
101,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2940,3000,2970,"09
May
2024"
102,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,2940,3030,2980,"31
May
2024"
103,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,3000,3050,3040,"02
Sep
2024"
104,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,3020,3150,3080,"25
Jun
2024"
105,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,3060,3150,3100,"27
Jun
2024"
106,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,3060,3200,3140,"25
Jul
2024"
